moy,dom,hod,Toutdoor,Qheat_profile,Q_dhw_profile,Q_house_profile
1.0,2.0,23.0,10.2,0.649427138916296,0.0,0.649427138916296
1.0,2.0,24.0,9.8,0.717787890381169,0.0,0.717787890381169
1.0,3.0,1.0,9.4,0.7861486418460423,0.0,0.7861486418460423
1.0,3.0,2.0,8.8,0.8886897690433521,0.0,0.8886897690433521
1.0,3.0,3.0,7.9,1.042501459839317,0.0,1.042501459839317
1.0,3.0,4.0,7.8,1.0595916477055354,0.0,1.0595916477055354
1.0,3.0,5.0,7.7,1.0766818355717536,0.0,1.0766818355717536
1.0,3.0,6.0,7.6,1.093772023437972,0.0,1.093772023437972
1.0,3.0,7.0,7.4,1.1279523991704086,0.0,1.1279523991704086
1.0,3.0,8.0,7.1,1.1792229627690636,1.6099999999999999,2.7892229627690632
1.0,3.0,9.0,6.9,1.2134033385015002,0.42,1.6334033385015
1.0,3.0,10.0,7.1,1.1792229627690636,0.21,1.3892229627690635
1.0,3.0,11.0,7.6,1.093772023437972,0.105,1.198772023437972
1.0,3.0,12.0,7.1,1.1792229627690636,0.21,1.3892229627690635
1.0,3.0,13.0,7.2,1.1621327749028452,0.315,1.4771327749028451
1.0,3.0,14.0,7.4,1.1279523991704086,0.0,1.1279523991704086
1.0,3.0,15.0,7.0,1.1963131506352818,0.105,1.3013131506352817
1.0,3.0,16.0,6.0,1.367215029297465,0.105,1.472215029297465
1.0,3.0,17.0,5.4,1.4697561564947748,0.105,1.5747561564947747
1.0,3.0,18.0,4.8,1.5722972836920845,0.0,1.5722972836920845
1.0,3.0,19.0,4.6,1.6064776594245214,0.315,1.9214776594245213
1.0,3.0,20.0,4.6,1.6064776594245214,0.105,1.7114776594245213
1.0,3.0,21.0,5.0,1.5381169079596482,0.735,2.2731169079596483
1.0,3.0,22.0,5.4,1.4697561564947748,1.505,2.9747561564947747
1.0,3.0,23.0,5.2,1.5039365322272116,0.0,1.5039365322272116
1.0,3.0,24.0,5.8,1.4013954050299016,0.0,1.4013954050299016
1.0,4.0,1.0,6.5,1.2817640899663734,0.0,1.2817640899663734
1.0,4.0,2.0,7.0,1.1963131506352818,0.0,1.1963131506352818
1.0,4.0,3.0,6.8,1.2304935263677186,0.0,1.2304935263677186
1.0,4.0,4.0,7.0,1.1963131506352818,0.0,1.1963131506352818
1.0,4.0,5.0,7.1,1.1792229627690636,0.0,1.1792229627690636
1.0,4.0,6.0,6.9,1.2134033385015002,0.0,1.2134033385015002
1.0,4.0,7.0,7.0,1.1963131506352818,0.0,1.1963131506352818
1.0,4.0,8.0,7.2,1.1621327749028452,1.6099999999999999,2.772132774902845
1.0,4.0,9.0,7.6,1.093772023437972,0.42,1.513772023437972
1.0,4.0,10.0,8.0,1.0254112719730988,0.21,1.2354112719730987
1.0,4.0,11.0,8.5,0.9399603326420072,0.105,1.0449603326420072
1.0,4.0,12.0,8.8,0.8886897690433521,0.21,1.0986897690433521
1.0,4.0,13.0,9.0,0.8545093933109156,0.315,1.1695093933109155
1.0,4.0,14.0,8.8,0.8886897690433521,0.0,0.8886897690433521
1.0,4.0,15.0,8.8,0.8886897690433521,0.105,0.993689769043352
1.0,4.0,16.0,8.8,0.8886897690433521,0.105,0.993689769043352
1.0,4.0,17.0,8.6,0.9228701447757889,0.105,1.027870144775789
1.0,4.0,18.0,8.1,1.0083210841068804,0.0,1.0083210841068804
1.0,4.0,19.0,7.9,1.042501459839317,0.315,1.357501459839317
1.0,4.0,20.0,8.0,1.0254112719730988,0.105,1.1304112719730988
1.0,4.0,21.0,8.2,0.9912308962406622,0.735,1.7262308962406623
1.0,4.0,22.0,8.1,1.0083210841068804,1.505,2.51332108410688
1.0,4.0,23.0,7.8,1.0595916477055354,0.0,1.0595916477055354
1.0,4.0,24.0,7.4,1.1279523991704086,0.0,1.1279523991704086
1.0,5.0,1.0,7.5,1.1108622113041904,0.0,1.1108622113041904
1.0,5.0,2.0,7.3,1.145042587036627,0.0,1.145042587036627
1.0,5.0,3.0,6.4,1.2988542778325916,0.0,1.2988542778325916
1.0,5.0,4.0,6.7,1.2475837142339368,0.0,1.2475837142339368
1.0,5.0,5.0,6.8,1.2304935263677186,0.0,1.2304935263677186
1.0,5.0,6.0,6.9,1.2134033385015002,0.0,1.2134033385015002
1.0,5.0,7.0,7.2,1.1621327749028452,0.0,1.1621327749028452
1.0,5.0,8.0,7.2,1.1621327749028452,1.6099999999999999,2.772132774902845
1.0,5.0,9.0,7.0,1.1963131506352818,0.42,1.6163131506352817
1.0,5.0,10.0,7.1,1.1792229627690636,0.21,1.3892229627690635
1.0,5.0,11.0,7.4,1.1279523991704086,0.105,1.2329523991704086
1.0,5.0,12.0,8.4,0.9570505205082254,0.21,1.1670505205082253
1.0,5.0,13.0,9.4,0.7861486418460423,0.315,1.1011486418460423
1.0,5.0,14.0,10.6,0.5810663874514227,0.0,0.5810663874514227
1.0,5.0,15.0,9.3,0.8032388297122606,0.105,0.9082388297122606
1.0,5.0,16.0,8.2,0.9912308962406622,0.105,1.0962308962406622
1.0,5.0,17.0,8.1,1.0083210841068804,0.105,1.1133210841068804
